cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
105	5e+06	TRUE	0.06	0.63	61.871	0.981	40	FALSE	0.0295	0.00425	0.0987	0.0995	0.0972	FALSE
107	5500000	TRUE	0.04	0.71	66.379	0.98	40	FALSE	0.0292	0.00391	0.0998	0.0995	0.0974	FALSE
108	13500000	FALSE	1.82	0.18	87.457	0.998	0	NA	NA	NA	NA	NA	NA	NA
20	3500000	FALSE	0.82	0.48	22.602	0.974	0	NA	NA	NA	NA	NA	NA	NA
204	4e+06	FALSE	1.37	0.79	47.479	0.979	0	NA	NA	NA	NA	NA	NA	NA
235	2500000	FALSE	0.19	1.76	15.418	0.876	0	NA	NA	NA	NA	NA	NA	NA
311	2500000	FALSE	1.24	0.8	9.584	0.959	0	NA	NA	NA	NA	NA	NA	NA
381	8e+06	TRUE	0.03	1.44	68.201	0.961	25	FALSE	0.0266	0.0034	0.0964	0.1	0.0975	FALSE
385	4500000	FALSE	1.32	0.66	51.794	0.984	0	NA	NA	NA	NA	NA	NA	NA
413	1.1e+07	FALSE	0.8	1.06	95.91	0.979	0	NA	NA	NA	NA	NA	NA	NA
46	4500000	TRUE	0.01	0.7	37.935	0.966	-40	FALSE	0.0211	0.00481	0.0979	0.0949	0.0924	FALSE
554	6e+06	FALSE	0.5	1.98	59.277	0.94	0	NA	NA	NA	NA	NA	NA	NA
59	9e+06	FALSE	1.84	0.13	56.863	0.998	0	NA	NA	NA	NA	NA	NA	NA
61	9500000	FALSE	1.85	0.12	60.243	0.999	0	NA	NA	NA	NA	NA	NA	NA
618	6500000	FALSE	0.57	2.04	62.904	0.941	0	NA	NA	NA	NA	NA	NA	NA
66	11500000	FALSE	1.84	0.16	77.24	0.998	0	NA	NA	NA	NA	NA	NA	NA
75	1.2e+07	FALSE	1.84	0.18	78.888	0.998	0	NA	NA	NA	NA	NA	NA	NA
88	12500000	FALSE	1.82	0.21	81.247	0.998	0	NA	NA	NA	NA	NA	NA	NA
89	8e+06	TRUE	0	1.65	89.837	0.966	35	FALSE	0.197	0.00529	0.095	0.0938	0.0948	FALSE
91	8500000	TRUE	0.03	1.84	94.874	0.964	35	FALSE	0.199	0.00609	0.0956	0.0938	0.0948	FALSE
92	9500000	TRUE	0.08	2.41	107.094	0.958	35	FALSE	0.202	0.00578	0.0935	0.0953	0.0949	FALSE
