cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
106	4500000	FALSE	0.25	2.41	13.493	0.897	0	NA	NA	NA	NA	NA	NA	NA
112	2500000	FALSE	0.38	0.38	6.415	0.938	0	NA	NA	NA	NA	NA	NA	NA
126	5e+06	FALSE	0.07	7.45	32.249	0.896	0	NA	NA	NA	NA	NA	NA	NA
159	5500000	FALSE	0.03	1.19	14.54	0.905	0	NA	NA	NA	NA	NA	NA	NA
182	8e+06	FALSE	0.09	2.22	29.115	0.925	0	NA	NA	NA	NA	NA	NA	NA
260	2500000	FALSE	0.8	1.3	5.024	0.887	0	NA	NA	NA	NA	NA	NA	NA
31	2500000	FALSE	0.41	1.78	6.305	0.878	0	NA	NA	NA	NA	NA	NA	NA
466	5500000	FALSE	0.11	8.91	33.883	0.883	0	NA	NA	NA	NA	NA	NA	NA
77	2500000	FALSE	0.38	0.26	8.809	0.957	0	NA	NA	NA	NA	NA	NA	NA
99	2500000	FALSE	0.42	1.47	4.607	0.857	0	NA	NA	NA	NA	NA	NA	NA
