cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
107	6500000	TRUE	0.05	1.55	36.013	0.968	-40	FALSE	0.000804	0.00243	0.112	0.112	0.107	FALSE
109	6e+06	TRUE	0.01	0.55	40.65	0.991	0	FALSE	0.219	0.011	0.171	0.0588	0.219	TRUE
116	6500000	TRUE	0.01	0.53	41.114	0.991	0	FALSE	0.212	0.0113	0.168	0.0602	0.213	TRUE
117	11500000	TRUE	0.08	3.98	64.837	0.955	40	FALSE	0.0107	0.00203	0.117	0.117	0.112	FALSE
123	1.3e+07	TRUE	0.04	3.93	71.828	0.96	-40	FALSE	0.0104	0.00188	0.117	0.117	0.111	FALSE
134	4e+06	FALSE	0.03	2.05	24.635	0.949	0	NA	NA	NA	NA	NA	NA	NA
136	3e+06	FALSE	0.18	0.87	17.526	0.943	0	NA	NA	NA	NA	NA	NA	NA
140	4500000	TRUE	0.03	1.75	25.532	0.958	-5	FALSE	0.104	0.0102	0.153	0.182	0.189	TRUE
143	1.1e+07	TRUE	0.05	3.68	64.622	0.961	0	FALSE	0.197	0.00884	0.172	0.0802	0.209	TRUE
144	15500000	TRUE	0.08	0.3	66.251	0.998	0	FALSE	0.0337	0.0017	0.107	0.119	0.118	FALSE
148	3500000	FALSE	0.04	0.85	26.541	0.942	0	NA	NA	NA	NA	NA	NA	NA
149	1.4e+07	TRUE	0.04	3.75	79.501	0.965	-40	FALSE	0.00905	0.00183	0.117	0.117	0.111	FALSE
15	3e+06	TRUE	0.09	0.79	30.166	0.987	20	FALSE	0.0221	0.00264	0.0933	0.116	0.109	FALSE
158	14500000	TRUE	0.04	3.71	81.229	0.966	-40	FALSE	0.00969	0.00188	0.116	0.117	0.111	FALSE
16	3500000	TRUE	0.09	1.46	29.305	0.976	-25	FALSE	0.0241	0.00263	0.0943	0.116	0.11	FALSE
172	1.5e+07	TRUE	0.04	3.57	83.739	0.968	40	FALSE	0.0104	0.00183	0.116	0.117	0.11	FALSE
22	4e+06	TRUE	0.1	1.05	34.865	0.985	20	FALSE	0.0252	0.00249	0.0951	0.116	0.11	FALSE
235	5e+06	FALSE	0.19	1.42	34.846	0.927	0	NA	NA	NA	NA	NA	NA	NA
248	15500000	TRUE	0.04	3.85	84.78	0.966	40	FALSE	0.0104	0.00178	0.115	0.116	0.11	FALSE
257	3e+06	FALSE	0.37	3.18	31.853	0.935	0	NA	NA	NA	NA	NA	NA	NA
263	21500000	FALSE	0.39	24.7	116.718	0.899	0	NA	NA	NA	NA	NA	NA	NA
277	3500000	FALSE	0.71	2.07	15.794	0.922	0	NA	NA	NA	NA	NA	NA	NA
28	2500000	FALSE	0.23	0.28	20.928	0.989	0	NA	NA	NA	NA	NA	NA	NA
304	3500000	FALSE	0.49	3.79	36.539	0.932	0	NA	NA	NA	NA	NA	NA	NA
305	3e+06	FALSE	0.39	1.1	11.665	0.938	0	NA	NA	NA	NA	NA	NA	NA
312	3500000	FALSE	0.03	1.88	20.468	0.925	0	NA	NA	NA	NA	NA	NA	NA
38	6e+06	TRUE	0.01	2.11	41.557	0.976	-25	FALSE	-0.00109	0.00252	0.0967	0.117	0.11	FALSE
42	6500000	FALSE	0.21	0.82	71.706	0.987	0	NA	NA	NA	NA	NA	NA	NA
55	7e+06	FALSE	0.22	0.89	76.537	0.987	0	NA	NA	NA	NA	NA	NA	NA
6	3e+06	FALSE	0.02	0.19	20.804	0.994	0	NA	NA	NA	NA	NA	NA	NA
65	3500000	FALSE	0.35	0.4	27.579	0.988	0	NA	NA	NA	NA	NA	NA	NA
84	4e+06	FALSE	0.33	0.43	30.075	0.988	0	NA	NA	NA	NA	NA	NA	NA
85	10500000	TRUE	0.04	0.19	50.624	0.998	0	FALSE	0.0296	0.00216	0.106	0.119	0.117	FALSE
88	1.2e+07	TRUE	0.08	0.2	55.761	0.998	0	FALSE	0.0308	0.00199	0.107	0.119	0.117	FALSE
94	8e+06	FALSE	0.19	1.21	91.201	0.986	0	NA	NA	NA	NA	NA	NA	NA
98	3e+06	FALSE	0.05	0.58	19.886	0.982	0	NA	NA	NA	NA	NA	NA	NA
