inv	block	chrom	pos
2_Uganda_1_1	2:4.52e+08	2	4.52e+08
2_Uganda_1_1	2:4.27e+08	2	4.27e+08
2_Uganda_1_1	2:4.35e+08	2	4.35e+08
2_Uganda_1_1	2:4.42e+08	2	4.42e+08
2_Uganda_1_1	2:4.39e+08	2	4.39e+08
2_Uganda_1_1	2:433500000	2	433500000
2_Uganda_1_1	2:430500000	2	430500000
2_Uganda_1_1	2:4.33e+08	2	4.33e+08
2_Uganda_1_1	2:4.45e+08	2	4.45e+08
2_Uganda_1_1	2:426500000	2	426500000
2_Uganda_1_1	2:2.5e+07	2	2.5e+07
2_Uganda_1_1	2:444500000	2	444500000
2_Uganda_1_1	2:62500000	2	62500000
2_Uganda_1_1	2:4.5e+08	2	4.5e+08
2_Uganda_1_1	2:442500000	2	442500000
2_Uganda_1_1	2:443500000	2	443500000
2_Uganda_1_1	2:449500000	2	449500000
