inv	block	chrom	pos
1_Senegal_1_2	1:2.8e+08	1	2.8e+08
1_Senegal_1_2	1:278500000	1	278500000
1_Senegal_1_2	1:2.82e+08	1	2.82e+08
1_Senegal_1_2	1:265500000	1	265500000
1_Senegal_1_2	1:279500000	1	279500000
1_Senegal_1_2	1:306500000	1	306500000
1_Senegal_1_2	1:267500000	1	267500000
1_Senegal_1_2	1:2.94e+08	1	2.94e+08
1_Senegal_1_2	1:271500000	1	271500000
1_Senegal_1_2	1:2.75e+08	1	2.75e+08
1_Senegal_1_2	1:268500000	1	268500000
1_Senegal_1_2	1:2.71e+08	1	2.71e+08
1_Senegal_1_2	1:272500000	1	272500000
1_Senegal_1_2	1:2.69e+08	1	2.69e+08
1_Senegal_1_2	1:2.91e+08	1	2.91e+08
1_Senegal_1_2	1:2.88e+08	1	2.88e+08
1_Senegal_1_2	1:302500000	1	302500000
1_Senegal_1_2	1:2.89e+08	1	2.89e+08
1_Senegal_1_2	1:283500000	1	283500000
1_Senegal_1_2	1:264500000	1	264500000
1_Senegal_1_2	1:3.04e+08	1	3.04e+08
1_Senegal_1_2	1:2.95e+08	1	2.95e+08
1_Senegal_1_2	1:2.83e+08	1	2.83e+08
1_Senegal_1_2	1:2.78e+08	1	2.78e+08
1_Senegal_1_2	1:3.01e+08	1	3.01e+08
1_Senegal_1_2	1:2.84e+08	1	2.84e+08
1_Senegal_1_2	1:2.96e+08	1	2.96e+08
1_Senegal_1_2	1:305500000	1	305500000
1_Senegal_1_2	1:3.06e+08	1	3.06e+08
1_Senegal_1_2	1:2.76e+08	1	2.76e+08
1_Senegal_1_2	1:295500000	1	295500000
1_Senegal_1_2	1:3.03e+08	1	3.03e+08
1_Senegal_1_2	1:273500000	1	273500000
1_Senegal_1_2	1:3e+08	1	3e+08
1_Senegal_1_2	1:3.07e+08	1	3.07e+08
1_Senegal_1_2	1:2.65e+08	1	2.65e+08
1_Senegal_1_2	1:2.77e+08	1	2.77e+08
1_Senegal_1_2	1:307500000	1	307500000
1_Senegal_1_2	1:2.66e+08	1	2.66e+08
1_Senegal_1_2	1:2.86e+08	1	2.86e+08
1_Senegal_1_2	1:308500000	1	308500000
1_Senegal_1_2	1:3.05e+08	1	3.05e+08
1_Senegal_1_2	1:270500000	1	270500000
1_Senegal_1_2	1:289500000	1	289500000
1_Senegal_1_2	1:2.81e+08	1	2.81e+08
1_Senegal_1_2	1:298500000	1	298500000
1_Senegal_1_2	1:299500000	1	299500000
1_Senegal_1_2	1:2.85e+08	1	2.85e+08
1_Senegal_1_2	1:277500000	1	277500000
1_Senegal_1_2	1:275500000	1	275500000
1_Senegal_1_2	1:286500000	1	286500000
1_Senegal_1_2	1:293500000	1	293500000
1_Senegal_1_2	1:266500000	1	266500000
1_Senegal_1_2	1:304500000	1	304500000
1_Senegal_1_2	1:2.67e+08	1	2.67e+08
1_Senegal_1_2	1:2.99e+08	1	2.99e+08
1_Senegal_1_2	1:282500000	1	282500000
1_Senegal_1_2	1:2.79e+08	1	2.79e+08
1_Senegal_1_2	1:2.92e+08	1	2.92e+08
1_Senegal_1_2	1:2.93e+08	1	2.93e+08
1_Senegal_1_2	1:285500000	1	285500000
1_Senegal_1_2	1:2.68e+08	1	2.68e+08
1_Senegal_1_2	1:303500000	1	303500000
1_Senegal_1_2	1:300500000	1	300500000
1_Senegal_1_2	1:3.08e+08	1	3.08e+08
1_Senegal_1_2	1:287500000	1	287500000
1_Senegal_1_2	1:288500000	1	288500000
1_Senegal_1_2	1:3.02e+08	1	3.02e+08
1_Senegal_1_2	1:2.87e+08	1	2.87e+08
1_Senegal_1_2	1:276500000	1	276500000
1_Senegal_1_2	1:2.74e+08	1	2.74e+08
1_Senegal_1_2	1:2.9e+08	1	2.9e+08
1_Senegal_1_2	1:269500000	1	269500000
1_Senegal_1_2	1:284500000	1	284500000
1_Senegal_1_2	1:291500000	1	291500000
1_Senegal_1_2	1:301500000	1	301500000
1_Senegal_1_2	1:292500000	1	292500000
1_Senegal_1_2	1:290500000	1	290500000
1_Senegal_1_2	1:294500000	1	294500000
1_Senegal_1_2	1:280500000	1	280500000
1_Senegal_1_2	1:274500000	1	274500000
1_Senegal_1_2	1:2.7e+08	1	2.7e+08
1_Senegal_1_2	1:2.73e+08	1	2.73e+08
1_Senegal_1_2	1:281500000	1	281500000
1_Senegal_1_2	1:2.72e+08	1	2.72e+08
