cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
101	7e+06	FALSE	0.44	5.58	59.034	0.951	0	NA	NA	NA	NA	NA	NA	NA
111	4e+06	FALSE	0.05	3.27	22.157	0.921	0	NA	NA	NA	NA	NA	NA	NA
129	4500000	FALSE	0.18	2.49	32.388	0.947	0	NA	NA	NA	NA	NA	NA	NA
176	3500000	FALSE	0.28	2.94	27.874	0.925	0	NA	NA	NA	NA	NA	NA	NA
196	3e+06	FALSE	0.33	2.79	16.6	0.914	0	NA	NA	NA	NA	NA	NA	NA
199	4e+06	FALSE	0.28	3.5	30.566	0.919	0	NA	NA	NA	NA	NA	NA	NA
207	4500000	FALSE	0.18	3.54	24.382	0.922	0	NA	NA	NA	NA	NA	NA	NA
212	3e+06	FALSE	1.68	0.51	9.621	0.875	0	NA	NA	NA	NA	NA	NA	NA
213	1.1e+07	FALSE	0.49	7.21	56.233	0.919	0	NA	NA	NA	NA	NA	NA	NA
215	7e+06	TRUE	0.04	2.16	33.13	0.954	-35	FALSE	0.0106	0.00299	0.101	0.111	0.105	FALSE
22	3500000	FALSE	0.38	2.76	33.478	0.954	0	NA	NA	NA	NA	NA	NA	NA
222	9e+06	FALSE	1.71	0.1	23.659	0.997	0	NA	NA	NA	NA	NA	NA	NA
271	5e+06	FALSE	0.35	3.69	26.563	0.925	0	NA	NA	NA	NA	NA	NA	NA
310	1.4e+07	FALSE	0.65	8.23	71.412	0.919	0	NA	NA	NA	NA	NA	NA	NA
322	8500000	TRUE	0.04	2.53	36.368	0.952	35	FALSE	0.00891	0.00221	0.0985	0.111	0.1	FALSE
339	5500000	FALSE	0.23	3.82	27.689	0.925	0	NA	NA	NA	NA	NA	NA	NA
402	6500000	FALSE	0.48	4.89	33.037	0.92	0	NA	NA	NA	NA	NA	NA	NA
46	2500000	FALSE	0.31	0.77	18.513	0.968	0	NA	NA	NA	NA	NA	NA	NA
55	4500000	FALSE	0.36	3.25	41.34	0.956	0	NA	NA	NA	NA	NA	NA	NA
58	8500000	FALSE	1.74	0.11	20.998	0.997	0	NA	NA	NA	NA	NA	NA	NA
89	3e+06	FALSE	0.26	1.2	27.456	0.924	0	NA	NA	NA	NA	NA	NA	NA
