cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
101	3500000	FALSE	0.99	3	24.471	0.936	0	NA	NA	NA	NA	NA	NA	NA
13	4e+06	TRUE	0.07	0.19	54.807	0.997	0	TRUE	-0.0156	0.00567	0.323	0.257	0.162	FALSE
157	4500000	FALSE	0.39	6.49	32.61	0.894	0	NA	NA	NA	NA	NA	NA	NA
168	6500000	TRUE	0.07	1.08	39.81	0.96	-5	FALSE	0.0137	0.00357	0.112	0.112	0.109	FALSE
171	4500000	TRUE	0	1.2	38.316	0.954	-10	FALSE	0.0112	0.00351	0.109	0.102	0.106	FALSE
205	1.2e+07	TRUE	0.07	3.18	137.713	0.981	0	FALSE	0.0247	0.00589	0.306	0.251	0.163	FALSE
24	5e+06	TRUE	0.05	0.4	71.343	0.995	0	FALSE	-0.0105	0.00552	0.321	0.253	0.163	FALSE
253	10500000	FALSE	0.56	5.49	71.001	0.926	0	NA	NA	NA	NA	NA	NA	NA
261	8500000	TRUE	0.06	1.9	77.793	0.979	5	FALSE	0.142	0.00809	0.135	0.0874	0.168	TRUE
272	12500000	FALSE	0.61	6.07	101.055	0.916	0	NA	NA	NA	NA	NA	NA	NA
282	5e+06	FALSE	0.41	8.49	44.879	0.916	0	NA	NA	NA	NA	NA	NA	NA
333	9500000	TRUE	0.03	2.03	78.263	0.978	10	FALSE	0.139	0.00733	0.128	0.0859	0.164	TRUE
365	7500000	FALSE	0.32	8.91	42.115	0.907	0	NA	NA	NA	NA	NA	NA	NA
388	4500000	FALSE	0.52	4.6	13.541	0.815	0	NA	NA	NA	NA	NA	NA	NA
422	6500000	FALSE	0.22	9.29	49.01	0.916	0	NA	NA	NA	NA	NA	NA	NA
43	4e+06	TRUE	0.02	2.72	35.261	0.966	-25	FALSE	0.0437	0.002	0.0989	0.098	0.113	TRUE
48	3500000	FALSE	0.22	0.52	45.605	0.986	0	NA	NA	NA	NA	NA	NA	NA
81	5500000	TRUE	0.04	2.98	43.812	0.97	-25	FALSE	0.0427	0.00173	0.0996	0.101	0.114	TRUE
