inv	block	chrom	pos
2_SaudiArabia_1_3	2:2.27e+08	2	2.27e+08
2_SaudiArabia_1_3	2:2.28e+08	2	2.28e+08
2_SaudiArabia_1_3	2:2.29e+08	2	2.29e+08
2_SaudiArabia_1_3	2:227500000	2	227500000
2_SaudiArabia_1_3	2:228500000	2	228500000
2_SaudiArabia_1_3	2:2.31e+08	2	2.31e+08
2_SaudiArabia_1_3	2:229500000	2	229500000
2_SaudiArabia_1_3	2:2.32e+08	2	2.32e+08
2_SaudiArabia_1_3	2:230500000	2	230500000
2_SaudiArabia_1_3	2:231500000	2	231500000
2_SaudiArabia_1_3	2:2.3e+08	2	2.3e+08
2_SaudiArabia_2_1	2:2.35e+08	2	2.35e+08
2_SaudiArabia_2_1	2:2.36e+08	2	2.36e+08
2_SaudiArabia_2_1	2:2.37e+08	2	2.37e+08
2_SaudiArabia_2_1	2:2.38e+08	2	2.38e+08
2_SaudiArabia_2_1	2:234500000	2	234500000
2_SaudiArabia_2_1	2:235500000	2	235500000
2_SaudiArabia_2_1	2:236500000	2	236500000
2_SaudiArabia_2_1	2:237500000	2	237500000
2_SaudiArabia_2_1	2:238500000	2	238500000
