cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
11	4500000	FALSE	0.18	0.02	5.071	0.992	0	NA	NA	NA	NA	NA	NA	NA
117	3500000	FALSE	0.16	0.38	7.205	0.929	0	NA	NA	NA	NA	NA	NA	NA
131	3500000	FALSE	0.08	0.37	8.719	0.938	0	NA	NA	NA	NA	NA	NA	NA
20	3500000	FALSE	0.16	0.02	5.031	0.995	0	NA	NA	NA	NA	NA	NA	NA
25	9e+06	FALSE	0.17	0.03	11.26	0.996	0	NA	NA	NA	NA	NA	NA	NA
275	4e+06	FALSE	0.2	0.28	9.273	0.966	0	NA	NA	NA	NA	NA	NA	NA
28	2500000	FALSE	0.07	0.05	2.898	0.982	0	NA	NA	NA	NA	NA	NA	NA
333	2500000	FALSE	0.1	0.24	4.565	0.93	0	NA	NA	NA	NA	NA	NA	NA
400	4e+06	FALSE	0.14	0.4	7.667	0.929	0	NA	NA	NA	NA	NA	NA	NA
66	3e+06	FALSE	0.07	0.34	6.493	0.93	0	NA	NA	NA	NA	NA	NA	NA
