cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
100	3e+06	FALSE	0.42	0.22	27.893	0.96	0	NA	NA	NA	NA	NA	NA	NA
140	3500000	FALSE	0.69	0.78	33.52	0.957	0	NA	NA	NA	NA	NA	NA	NA
172	6e+06	FALSE	0.08	6.29	69.906	0.928	0	NA	NA	NA	NA	NA	NA	NA
19	6e+06	FALSE	1.21	0.24	20.924	0.989	0	NA	NA	NA	NA	NA	NA	NA
221	6e+06	FALSE	0.44	2.65	21.866	0.81	0	NA	NA	NA	NA	NA	NA	NA
233	4e+06	FALSE	0.86	3.35	21.277	0.9	0	NA	NA	NA	NA	NA	NA	NA
25	6500000	FALSE	1.28	0.31	21.084	0.987	0	NA	NA	NA	NA	NA	NA	NA
270	4e+06	FALSE	0.23	1.72	28.399	0.939	0	NA	NA	NA	NA	NA	NA	NA
34	7e+06	FALSE	1.26	0.32	22.362	0.988	0	NA	NA	NA	NA	NA	NA	NA
345	3500000	FALSE	0.05	3.68	39.557	0.934	0	NA	NA	NA	NA	NA	NA	NA
370	5e+06	FALSE	0.23	3.7	33.934	0.905	0	NA	NA	NA	NA	NA	NA	NA
44	3e+06	FALSE	0.09	4.44	40.926	0.939	0	NA	NA	NA	NA	NA	NA	NA
498	9e+06	TRUE	0.01	0.29	27.159	0.99	-25	FALSE	0.00755	0.00114	0.103	0.102	0.103	FALSE
56	2500000	FALSE	0.36	2.09	29.245	0.928	0	NA	NA	NA	NA	NA	NA	NA
76	8500000	TRUE	0.07	0.31	25.606	0.989	25	FALSE	0.00792	0.00116	0.103	0.102	0.103	TRUE
