cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
111	4e+06	FALSE	0.01	0.26	7.69	0.935	0	NA	NA	NA	NA	NA	NA	NA
137	5e+06	FALSE	0.05	0.76	5.621	0.895	0	NA	NA	NA	NA	NA	NA	NA
138	4e+06	FALSE	0.01	0.31	5.376	0.934	0	NA	NA	NA	NA	NA	NA	NA
140	6500000	FALSE	0.04	0.25	7.854	0.974	0	NA	NA	NA	NA	NA	NA	NA
143	4500000	FALSE	0.4	0.65	4.162	0.888	0	NA	NA	NA	NA	NA	NA	NA
149	3500000	FALSE	0.07	0.35	4.589	0.933	0	NA	NA	NA	NA	NA	NA	NA
153	5e+06	FALSE	0.51	0.72	4.176	0.89	0	NA	NA	NA	NA	NA	NA	NA
154	4500000	FALSE	0.01	0.27	8.218	0.933	0	NA	NA	NA	NA	NA	NA	NA
157	5500000	FALSE	0.02	0.35	9.287	0.925	0	NA	NA	NA	NA	NA	NA	NA
187	8500000	FALSE	0.12	0.66	9.68	0.945	0	NA	NA	NA	NA	NA	NA	NA
232	6500000	FALSE	0.01	0.42	10.116	0.919	0	NA	NA	NA	NA	NA	NA	NA
270	9e+06	FALSE	0.15	0.96	9.074	0.897	0	NA	NA	NA	NA	NA	NA	NA
280	9e+06	FALSE	0.11	0.75	10.03	0.939	0	NA	NA	NA	NA	NA	NA	NA
291	6e+06	FALSE	0.07	0.83	6.318	0.894	0	NA	NA	NA	NA	NA	NA	NA
297	5e+06	FALSE	0.29	0.67	3.93	0.894	0	NA	NA	NA	NA	NA	NA	NA
332	4e+06	FALSE	0.08	0.43	4.878	0.924	0	NA	NA	NA	NA	NA	NA	NA
35	3500000	FALSE	0.14	0.22	3.57	0.944	0	NA	NA	NA	NA	NA	NA	NA
387	9500000	FALSE	0.12	0.74	10.182	0.942	0	NA	NA	NA	NA	NA	NA	NA
435	7500000	FALSE	0.74	0.5	2.871	0.9	0	NA	NA	NA	NA	NA	NA	NA
48	5e+06	FALSE	0.12	0.35	4.79	0.935	0	NA	NA	NA	NA	NA	NA	NA
57	3500000	FALSE	0	0.25	4.737	0.939	0	NA	NA	NA	NA	NA	NA	NA
64	4e+06	FALSE	0.06	0.13	4.321	0.975	0	NA	NA	NA	NA	NA	NA	NA
74	4e+06	FALSE	0.36	0.6	3.685	0.887	0	NA	NA	NA	NA	NA	NA	NA
750	1.1e+07	FALSE	0.12	0.91	10.891	0.933	0	NA	NA	NA	NA	NA	NA	NA
81	5500000	FALSE	0.15	0.41	5.325	0.932	0	NA	NA	NA	NA	NA	NA	NA
92	6e+06	FALSE	0.02	0.17	7.165	0.98	0	NA	NA	NA	NA	NA	NA	NA
98	7e+06	FALSE	0.13	0.59	6.33	0.921	0	NA	NA	NA	NA	NA	NA	NA
