cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
107	4500000	FALSE	0.05	0.79	7.669	0.883	0	NA	NA	NA	NA	NA	NA	NA
112	4500000	FALSE	0.25	1.19	9.355	0.92	0	NA	NA	NA	NA	NA	NA	NA
123	5500000	FALSE	0.15	1.04	8.628	0.874	0	NA	NA	NA	NA	NA	NA	NA
124	3e+06	FALSE	0.22	0.75	3.141	0.879	0	NA	NA	NA	NA	NA	NA	NA
140	3e+06	FALSE	0.09	0.81	3.966	0.882	0	NA	NA	NA	NA	NA	NA	NA
142	3500000	FALSE	0.8	0.32	4.078	0.933	0	NA	NA	NA	NA	NA	NA	NA
146	8500000	FALSE	0.04	1.43	12.768	0.896	0	NA	NA	NA	NA	NA	NA	NA
151	9e+06	FALSE	0	1.45	13.485	0.898	0	NA	NA	NA	NA	NA	NA	NA
154	3e+06	FALSE	0	0.62	4.494	0.891	0	NA	NA	NA	NA	NA	NA	NA
157	3500000	FALSE	0.18	0.96	4.605	0.871	0	NA	NA	NA	NA	NA	NA	NA
160	3e+06	FALSE	0.11	0.44	6.421	0.937	0	NA	NA	NA	NA	NA	NA	NA
169	5500000	FALSE	0.05	1.13	8.802	0.893	0	NA	NA	NA	NA	NA	NA	NA
170	9500000	FALSE	0	1.5	14.155	0.9	0	NA	NA	NA	NA	NA	NA	NA
174	4e+06	FALSE	0.37	0.66	11.012	0.932	0	NA	NA	NA	NA	NA	NA	NA
182	5e+06	FALSE	0.15	0.66	12.075	0.933	0	NA	NA	NA	NA	NA	NA	NA
188	1e+07	FALSE	0	1.59	14.613	0.897	0	NA	NA	NA	NA	NA	NA	NA
190	4500000	FALSE	0.06	0.77	8.327	0.919	0	NA	NA	NA	NA	NA	NA	NA
192	9e+06	FALSE	0.21	2.27	13.872	0.896	0	NA	NA	NA	NA	NA	NA	NA
193	6e+06	FALSE	0.11	1.19	9.953	0.898	0	NA	NA	NA	NA	NA	NA	NA
194	5500000	FALSE	0.03	1.04	7.57	0.88	0	NA	NA	NA	NA	NA	NA	NA
199	6e+06	FALSE	0.07	1.21	9.302	0.892	0	NA	NA	NA	NA	NA	NA	NA
200	5e+06	FALSE	0.2	1.47	5.858	0.865	0	NA	NA	NA	NA	NA	NA	NA
201	6500000	FALSE	0.06	1.23	10.086	0.894	0	NA	NA	NA	NA	NA	NA	NA
202	7e+06	FALSE	0.09	1.3	10.457	0.892	0	NA	NA	NA	NA	NA	NA	NA
213	4e+06	FALSE	0.19	0.89	3.639	0.876	0	NA	NA	NA	NA	NA	NA	NA
216	7500000	FALSE	0.18	1.05	15.532	0.909	0	NA	NA	NA	NA	NA	NA	NA
217	15500000	FALSE	0.18	2.34	15.905	0.898	0	NA	NA	NA	NA	NA	NA	NA
222	7e+06	FALSE	0.12	1.29	9.378	0.886	0	NA	NA	NA	NA	NA	NA	NA
237	8500000	FALSE	0.11	1.79	12.966	0.884	0	NA	NA	NA	NA	NA	NA	NA
337	8e+06	FALSE	0.61	1.24	9.448	0.904	0	NA	NA	NA	NA	NA	NA	NA
54	3e+06	FALSE	0.14	0.92	7.471	0.931	0	NA	NA	NA	NA	NA	NA	NA
615	8500000	FALSE	0.63	1.3	9.634	0.903	0	NA	NA	NA	NA	NA	NA	NA
82	2500000	FALSE	0.05	0.32	7.684	0.948	0	NA	NA	NA	NA	NA	NA	NA
9	2500000	FALSE	0.12	0.79	6.51	0.932	0	NA	NA	NA	NA	NA	NA	NA
90	4e+06	FALSE	0.15	1.22	8.625	0.919	0	NA	NA	NA	NA	NA	NA	NA
97	2500000	FALSE	0.2	0.7	2.789	0.865	0	NA	NA	NA	NA	NA	NA	NA
