cluster	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se	hzaa	hzbb	hzab	hzgood
103	4500000	FALSE	0.11	0.23	3.04	0.945	0	NA	NA	NA	NA	NA	NA	NA
111	3e+06	FALSE	0.53	0.42	2.245	0.892	0	NA	NA	NA	NA	NA	NA	NA
113	3500000	FALSE	0.57	0.51	2.448	0.895	0	NA	NA	NA	NA	NA	NA	NA
118	3500000	FALSE	0.55	0.98	3.253	0.871	0	NA	NA	NA	NA	NA	NA	NA
122	5e+06	FALSE	0.04	0.32	8.305	0.95	0	NA	NA	NA	NA	NA	NA	NA
125	4500000	FALSE	0.02	0.62	6.666	0.942	0	NA	NA	NA	NA	NA	NA	NA
133	3500000	FALSE	0.01	1.15	5.448	0.871	0	NA	NA	NA	NA	NA	NA	NA
154	2500000	FALSE	0.08	0.52	3.905	0.926	0	NA	NA	NA	NA	NA	NA	NA
191	6500000	FALSE	0.07	0.42	9.938	0.947	0	NA	NA	NA	NA	NA	NA	NA
194	6e+06	FALSE	0.68	1.18	4.992	0.892	0	NA	NA	NA	NA	NA	NA	NA
222	7500000	FALSE	0.1	0.55	10.788	0.937	0	NA	NA	NA	NA	NA	NA	NA
228	2500000	FALSE	0.05	0.21	2.493	0.9	0	NA	NA	NA	NA	NA	NA	NA
246	2500000	FALSE	0.98	0.13	1.103	0.882	0	NA	NA	NA	NA	NA	NA	NA
267	5500000	FALSE	0.03	1.44	7.333	0.887	0	NA	NA	NA	NA	NA	NA	NA
294	4500000	FALSE	0.06	0.17	9.739	0.94	0	NA	NA	NA	NA	NA	NA	NA
37	3500000	FALSE	0.23	0.22	2.73	0.947	0	NA	NA	NA	NA	NA	NA	NA
485	56500000	TRUE	0.05	2.09	44.22	0.965	10	FALSE	0.0554	0.00163	0.113	0.122	0.103	FALSE
49	3e+06	FALSE	0.08	0.45	4.452	0.937	0	NA	NA	NA	NA	NA	NA	NA
62	4e+06	FALSE	0.13	0.63	5.955	0.936	0	NA	NA	NA	NA	NA	NA	NA
64	3500000	FALSE	0.03	0.13	8.064	0.987	0	NA	NA	NA	NA	NA	NA	NA
