inv1	inv2	occurpops	p	cor
X1	X2	FALSE	0.00319747591935781	-0.0921793762165396
X1	X3	FALSE	0.0170328515582402	-0.0746591178318947
X1	X4	FALSE	1.80456267558564e-15	-0.24541426254068
X4	X1	TRUE	0.0269058355282614	-0.158078894873861
X1	X5	FALSE	3.99923267268509e-13	0.224441861776464
X5	X1	TRUE	0.465506817022292	0.0524287148432037
X2	X3	FALSE	3.11493711901793e-108	0.617205662476284
X3	X2	TRUE	3.11697030571794e-25	0.617285744846832
X2	X4	FALSE	4.73892222391165e-20	-0.281498915185097
X4	X2	TRUE	5.79524525647584e-19	-0.465829689236106
X2	X5	FALSE	0.000274005787885913	-0.113646755270521
X5	X2	TRUE	0.283408721179724	-0.218565094735968
X3	X4	FALSE	5.01184200493118e-19	-0.273893972724532
X4	X3	TRUE	2.73518903190359e-23	-0.482191669769301
X3	X5	FALSE	0.000462349922892008	-0.109392841560033
X4	X5	FALSE	1.46933792350834e-29	-0.342979691746148
X5	X4	TRUE	0.0991745176354152	-0.114366007135694
