inv1	inv2	occurpops	p	cor
X1	X2	FALSE	1.40788276680556e-28	0.337255823447185
X2	X1	TRUE	1.73352567120255e-12	0.247158319816828
X1	X3	FALSE	3.09090670540565e-92	0.578459789819282
X3	X1	TRUE	1.56173259173753e-87	0.568514632773634
X1	X4	FALSE	4.01035838811799e-58	-0.473295705638404
X4	X1	TRUE	3.50109136453185e-07	-0.340566067795696
X2	X3	FALSE	1.21356399564468e-24	0.312997694655525
X3	X2	TRUE	3.70661742141301e-08	0.194031149151444
X2	X4	FALSE	0.000429088197781543	-0.110009014991728
X4	X2	TRUE	0.610386773286953	0.0426634338320689
X3	X4	FALSE	1.577711830898e-22	-0.298979625581232
X4	X3	TRUE	0.0195673698748161	-0.159870698205022
