cluster	au	bp	meandist	lowdist	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se
11	0.999002324214888	0.994948952663059	0.276600877398952	TRUE	4500000	TRUE	0.18	0.02	5.071	0.992	0	FALSE	0.0177269771407231	0.00150610970625911
117	0.996375399652221	0.107877281295326	0.614616803560267	TRUE	3500000	FALSE	0.61	0.84	24.78	0.836	0	NA	NA	NA
131	0.954400778430723	0.0464214622688029	0.683956196717961	TRUE	3500000	FALSE	1.2	1.73	8.458	0.77	0	NA	NA	NA
20	0.979029779964782	0.319502078445801	0.423132703307115	TRUE	3500000	TRUE	0.16	0.02	5.031	0.995	0	FALSE	0.0107277821283069	0.00198832513900802
25	1	1	0.454306204857854	TRUE	9e+06	TRUE	0.17	0.03	11.26	0.996	0	FALSE	0.0147355734377265	0.00116808399579847
275	0.951412203754471	0.454703827676254	0.557546043240229	TRUE	4e+06	TRUE	0.2	0.28	9.273	0.966	0	FALSE	0.0924398790260288	0.00620693269473513
28	0.981025702297987	0.635340727427825	0.513270982615671	TRUE	2500000	TRUE	0.07	0.05	2.898	0.982	0	FALSE	0.0081050232813512	0.00111988172737076
333	0.97416597165299	0.0191427676864605	0.671949105343108	TRUE	2500000	FALSE	1.5	0.71	27.603	0.764	0	NA	NA	NA
400	0.996636045389786	0.0169141429989075	0.628909580799319	TRUE	4e+06	FALSE	0.73	0.9	27.039	0.839	0	NA	NA	NA
66	0.952833883698646	0.305532261317809	0.588271805308858	TRUE	3e+06	FALSE	0.35	0.74	21.539	0.834	0	NA	NA	NA
