3_Ghana_20/15	3_BurkinaFaso_26	3_Senegal_11	3_BurkinaFaso_111	3_Ghana_30	3_Senegal_25	3_Uganda_311	3_Senegal_20	3_BurkinaFaso_39	3_BurkinaFaso_155	3_Kenya_397	3_Kenya_195	3_USA_54/9	3_Kenya_477/313	3_USA_160	3_Kenya_317	3_Kenya_383	3_Uganda_381	3_Kenya_189	3_Kenya_333	3_Kenya_361/352	3_Kenya_501/377	3_Kenya_598/554	3_Kenya_414	3_Gabon_61	3_Philippines_8	3_Kenya_394/265/181/96	3_Brazil_38	3_Brazil_27	3_Kenya_398/295	3_Kenya_184	3_USA_157/140	3_USA_82	3_Kenya_461	3_Kenya_368	3_Uganda_107/105	3_Senegal_275	3_SaudiArabia_19	3_BurkinaFaso_90	3_Uganda_92/91/89	3_BurkinaFaso_265/179	3_Kenya_196	3_Uganda_46	3_BurkinaFaso_95	3_Senegal_28	3_BurkinaFaso_123	3_Ghana_97
3_Ghana_20/15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3_BurkinaFaso_26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3_Senegal_11	NA	NA	NA	NA	NA	0.658659585296087	NA	0.621732716809533	NA	0.0176069868139311	0.00317695044746279	0.00625966851159961	0.0274074073074667	0.00482169651186822	0.00312450390106929	0.0116987101359635	0.00707977317055111	0.0014655228331457	0.00710794749846219	0.00845104088059151	0.00790438193131322	0.00932949663460748	0.0415911657372439	0.0338186920253366	0.00297235651783049	0.0076875578606827	0.00262045509132138	0.0028246358693624	0.00302658403433478	0.0343841511057364	0.0342278244420271	0.00244891650570302	0.00779334051492914	0.00831351562676953	0.00818447757605957	NA	0.0535303972120842	0.0159598038291252	NA	0.0053170680935716	NA	0.00414538511984926	NA	0.0174735241925268	0.0399260637297067	0.0374768821821828	0.0380256579500605
3_BurkinaFaso_111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3_Ghana_30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3_Senegal_25	NA	NA	0.658659585296087	NA	NA	NA	NA	0.722679852955869	NA	0.0156232032281951	0.0028171025349408	0.00563616293147356	0.0250019609056869	0.00500196948640307	0.0029817058183962	0.0110309946159577	0.00677388346339942	0.000700088421058165	0.00733652359777713	0.00797681599960227	0.00740342424733636	0.00925366350024073	0.0377963792964903	0.0303332225784722	0.00272714059260056	0.00673166535095796	0.00272140083213987	0.00293775754401034	0.00310768250849902	0.0308109916304029	0.0309481909495146	0.00236736955667679	0.00750417816033676	0.00625635356316061	0.00755030509889171	NA	0.0488102135972116	0.014822999285591	NA	0.00466629104265749	NA	0.00412021532391647	NA	0.0156956345905002	0.0408631251845286	0.0384649903988976	0.0389676116734369
3_Uganda_311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3_Senegal_20	NA	NA	0.621732716809533	NA	NA	0.722679852955869	NA	NA	NA	0.0160317265577221	0.00295701632195546	0.00579406037403087	0.0252549726373872	0.00486546415784588	0.00298831125688435	0.0110665824418835	0.00673938521115032	0.000772973601691244	0.00709382991253716	0.00803951181126509	0.00748241048844188	0.00918245953116773	0.0384824414613862	0.0310059806316763	0.00275491092657105	0.00692644037065865	0.00266409045245714	0.00290386856702216	0.00306833080333474	0.0317138060141887	0.0318197117041295	0.00242959085864608	0.00761934324341585	0.00699893838267376	0.00773722024148661	NA	0.04984425785701	0.0151859398664132	NA	0.00466327222805658	NA	0.00414232497970472	NA	0.0162179541319383	0.0393530521647657	0.037053088714319	0.0375529282312487
3_BurkinaFaso_39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3_BurkinaFaso_155	NA	NA	0.0176069868139311	NA	NA	0.0156232032281951	NA	0.0160317265577221	NA	NA	0.0307094072842282	0.0330003461924184	0.0860082434603916	0.025468371430964	0.00710020180582983	0.0419100724540565	0.0331740593205334	0.00953869479035719	0.0234790437765432	0.0307919824192715	0.0301248869280867	0.0269211337808528	0.0971034891404266	0.0858877960554576	0.0204875727530348	0.027575532668815	0.0138465948333117	0.0153417897778029	0.0162084576020721	0.0907294596865758	0.0875277107204356	0.00764958868559255	0.0165413829113035	0.0616345754528447	0.0334291760517054	NA	0.135055831202289	0.0472332265043793	NA	0.0124550511874927	NA	0.0223489297923843	NA	0.0688811129009315	0.0338214272177577	0.0310307552297074	0.032893029226245
