country	chrom	start	end	r2n	r2
Brazil	1	0	499999	1313	0.0065355789847671986
Brazil	1	500000	999999	709	0.0028869055677205324
Brazil	1	1000000	1499999	780	0.003272040281444788
Brazil	1	1500000	1999999	937	0.002475857036188245
Brazil	1	2000000	2499999	1114	0.002263563685119152
Brazil	1	2500000	2999999	1081	0.0030669214902445674
Brazil	1	3000000	3499999	771	0.002818360459059477
Brazil	1	3500000	3999999	1134	0.004298520740121603
Brazil	1	4000000	4499999	1170	0.0030709512066096067
Brazil	1	4500000	4999999	1148	0.0030804474372416735
Brazil	1	5000000	5499999	1005	0.0033382478868588805
Brazil	1	5500000	5999999	941	0.0037952461279928684
Brazil	1	6000000	6499999	776	0.0034654629416763783
Brazil	1	6500000	6999999	1204	0.002842389279976487
Brazil	1	7000000	7499999	1025	0.0026772721903398633
Brazil	1	7500000	7999999	1078	0.0027851294726133347
Brazil	1	8000000	8499999	423	0.0030376282520592213
Brazil	1	8500000	8999999	789	0.0023337770253419876
Brazil	1	9000000	9499999	1015	0.0038552621845155954
Brazil	1	9500000	9999999	970	0.003287980565801263
Brazil	1	10000000	10499999	1071	0.00251950416713953
Brazil	1	10500000	10999999	739	0.0026398280169814825
Brazil	1	11000000	11499999	846	0.0033224718645215034
Brazil	1	11500000	11999999	1045	0.0039788971189409494
Brazil	1	12000000	12499999	1113	0.0032735031563788652
Brazil	1	12500000	12999999	790	0.0036732822190970182
Brazil	1	13000000	13499999	952	0.0032354823779314756
Brazil	1	13500000	13999999	847	0.003158197272568941
Brazil	1	14000000	14499999	1505	0.005090606864541769
Brazil	1	14500000	14999999	1692	0.004392815288156271
Brazil	1	15000000	15499999	966	0.002198702422901988
Brazil	1	15500000	15999999	1097	0.004999020602554083
Brazil	1	16000000	16499999	834	0.00354808964766562
Brazil	1	16500000	16999999	1096	0.004690920934081078
Brazil	1	17000000	17499999	1185	0.0038105810526758432
Brazil	1	17500000	17999999	998	0.005097186658531427
Brazil	1	18000000	18499999	774	0.003730272874236107
Brazil	1	18500000	18999999	989	0.003870871849358082
Brazil	1	19000000	19499999	752	0.004058398772031069
Brazil	1	19500000	19999999	825	0.0025198415387421846
Brazil	1	20000000	20499999	1549	0.004117595963180065
Brazil	1	20500000	20999999	1262	0.004153686575591564
Brazil	1	21000000	21499999	1415	0.005269116722047329
Brazil	1	21500000	21999999	1033	0.004472882952541113
Brazil	1	22000000	22499999	1489	0.0044136312790215015
Brazil	1	22500000	22999999	944	0.005233082454651594
Brazil	1	23000000	23499999	1157	0.0045640841126441956
Brazil	1	23500000	23999999	1424	0.003980021923780441
Brazil	1	24000000	24499999	1106	0.003870871849358082
Brazil	1	24500000	24999999	911	0.003959454596042633
Brazil	1	25000000	25499999	1051	0.004808791913092136
Brazil	1	25500000	25999999	945	0.005198147613555193
Brazil	1	26000000	26499999	852	0.0036241901107132435
Brazil	1	26500000	26999999	1582	0.003591124899685383
Brazil	1	27000000	27499999	1279	0.004611934069544077
Brazil	1	27500000	27999999	1403	0.006364555563777685
Brazil	1	28000000	28499999	981	0.003816941287368536
Brazil	1	28500000	28999999	1039	0.003435135120525956
Brazil	1	29000000	29499999	1274	0.00517400074750185
Brazil	1	29500000	29999999	1035	0.004426060244441032
Brazil	1	30000000	30499999	1345	0.004262346774339676
Brazil	1	30500000	30999999	1939	0.00516045605763793
Brazil	1	31000000	31499999	1177	0.0034574370365589857
Brazil	1	31500000	31999999	1100	0.003790286835283041
Brazil	1	32000000	32499999	1313	0.0037878374569118023
Brazil	1	32500000	32999999	1418	0.0036961708683520555
Brazil	1	33000000	33499999	1335	0.003601579461246729
Brazil	1	33500000	33999999	969	0.0024954292457550764
Brazil	1	34000000	34499999	848	0.0023352548014372587
Brazil	1	34500000	34999999	918	0.002715465845540166
Brazil	1	35000000	35499999	1043	0.003498783567920327
Brazil	1	35500000	35999999	1380	0.006312492536380887
Brazil	1	36000000	36499999	1135	0.00358894863165915
Brazil	1	36500000	36999999	1037	0.0034963004291057587
Brazil	1	37000000	37499999	1243	0.004180750343948603
Brazil	1	37500000	37999999	1679	0.004506190773099661
Brazil	1	38000000	38499999	1778	0.005662066861987114
Brazil	1	38500000	38999999	1840	0.004746490390971303
Brazil	1	39000000	39499999	945	0.004301254637539387
Brazil	1	39500000	39999999	998	0.0050056749023497105
Brazil	1	40000000	40499999	1205	0.0050936134066432714
Brazil	1	40500000	40999999	872	0.003522224724292755
Brazil	1	41000000	41499999	695	0.004534267354756594
Brazil	1	41500000	41999999	1120	0.0045135426335036755
Brazil	1	42000000	42499999	1200	0.004945551510900259
Brazil	1	42500000	42999999	1439	0.0057485150173306465
Brazil	1	43000000	43499999	1291	0.005989696364849806
Brazil	1	43500000	43999999	772	0.003102840739302337
Brazil	1	44000000	44499999	1008	0.004294549813494086
Brazil	1	44500000	44999999	1455	0.0035765005741268396
Brazil	1	45000000	45499999	1341	0.003817095886915922
Brazil	1	45500000	45999999	901	0.004866400733590126
Brazil	1	46000000	46499999	970	0.004205426201224327
Brazil	1	46500000	46999999	929	0.0032960507087409496
Brazil	1	47000000	47499999	899	0.006172838620841503
Brazil	1	47500000	47999999	865	0.004374732729047537
Brazil	1	48000000	48499999	654	0.0038123675622045994
Brazil	1	48500000	48999999	696	0.0038359183818101883
Brazil	1	49000000	49499999	1249	0.006161850411444902
Brazil	1	49500000	49999999	1288	0.007061349228024483
Brazil	1	50000000	50499999	639	0.0036826245486736298
Brazil	1	50500000	50999999	1146	0.00405088672414422
Brazil	1	51000000	51499999	982	0.002928071189671755
Brazil	1	51500000	51999999	1072	0.004368288442492485
Brazil	1	52000000	52499999	1252	0.0035428438568487763
Brazil	1	52500000	52999999	942	0.004200150724500418
Brazil	1	53000000	53499999	1716	0.0036676001036539674
Brazil	1	53500000	53999999	1283	0.003824207466095686
Brazil	1	54000000	54499999	959	0.0020775296725332737
Brazil	1	54500000	54999999	853	0.0027945898473262787
Brazil	1	55000000	55499999	1042	0.004184090532362461
Brazil	1	55500000	55999999	940	0.003930817823857069
Brazil	1	56000000	56499999	811	0.0043149786069989204
Brazil	1	56500000	56999999	949	0.002857943531125784
Brazil	1	57000000	57499999	900	0.004610671428963542
Brazil	1	57500000	57999999	731	0.0049177901819348335
Brazil	1	58000000	58499999	1118	0.005708036478608847
Brazil	1	58500000	58999999	1189	0.004378666635602713
Brazil	1	59000000	59499999	1390	0.003598732640966773
Brazil	1	59500000	59999999	1186	0.0037241766694933176
Brazil	1	60000000	60499999	1675	0.00349843455478549
Brazil	1	60500000	60999999	1017	0.003453916753642261
Brazil	1	61000000	61499999	1094	0.004876067861914635
Brazil	1	61500000	61999999	1106	0.004377857316285372
Brazil	1	62000000	62499999	1868	0.003962525865063071
Brazil	1	62500000	62999999	1328	0.003981640562415123
Brazil	1	63000000	63499999	1076	0.0051472249906510115
Brazil	1	63500000	63999999	1318	0.00445646932348609
Brazil	1	64000000	64499999	1202	0.0029760352335870266
Brazil	1	64500000	64999999	1369	0.004055229015648365
Brazil	1	65000000	65499999	1511	0.0038663016166538
Brazil	1	65500000	65999999	1372	0.003801988670602441
Brazil	1	66000000	66499999	1406	0.005397304892539978
Brazil	1	66500000	66999999	1029	0.0041972133331000805
Brazil	1	67000000	67499999	1242	0.003913799300789833
Brazil	1	67500000	67999999	1218	0.0034126881510019302
Brazil	1	68000000	68499999	1537	0.004016485530883074
Brazil	1	68500000	68999999	1300	0.005305311409756541
Brazil	1	69000000	69499999	1071	0.004182801116257906
Brazil	1	69500000	69999999	1728	0.0077121451031416655
Brazil	1	70000000	70499999	1326	0.007039953488856554
Brazil	1	70500000	70999999	1209	0.0050295088440179825
Brazil	1	71000000	71499999	1173	0.00486745173111558
Brazil	1	71500000	71999999	1389	0.005281407386064529
Brazil	1	72000000	72499999	1420	0.003934862557798624
Brazil	1	72500000	72999999	1092	0.003391500562429428
Brazil	1	73000000	73499999	1014	0.004088785033673048
Brazil	1	73500000	73999999	1405	0.005249792244285345
Brazil	1	74000000	74499999	1383	0.004983673337846994
Brazil	1	74500000	74999999	1494	0.004690920934081078
Brazil	1	75000000	75499999	1463	0.005617684684693813
Brazil	1	75500000	75999999	1452	0.0062138838693499565
Brazil	1	76000000	76499999	1086	0.00587305286899209
Brazil	1	76500000	76999999	1086	0.006019126623868942
Brazil	1	77000000	77499999	1207	0.005942800547927618
Brazil	1	77500000	77999999	1097	0.004523733630776405
Brazil	1	78000000	78499999	917	0.00506200036033988
Brazil	1	78500000	78999999	1156	0.006997243966907263
Brazil	1	79000000	79499999	1705	0.005127032287418842
Brazil	1	79500000	79999999	989	0.008328430354595184
Brazil	1	80000000	80499999	1075	0.006472524721175432
Brazil	1	80500000	80999999	1273	0.006735596340149641
Brazil	1	81000000	81499999	1111	0.008445283398032188
Brazil	1	81500000	81999999	1471	0.006749956402927637
Brazil	1	82000000	82499999	1147	0.007169015239924192
Brazil	1	82500000	82999999	1218	0.0037943425122648478
Brazil	1	83000000	83499999	1648	0.0046190861612558365
Brazil	1	83500000	83999999	1592	0.004316166741773486
Brazil	1	84000000	84499999	1528	0.005894483998417854
Brazil	1	84500000	84999999	1369	0.004845642484724522
Brazil	1	85000000	85499999	1333	0.007215284742414951
Brazil	1	85500000	85999999	1116	0.007907485589385033
Brazil	1	86000000	86499999	1029	0.0053328569047153
Brazil	1	86500000	86999999	1619	0.008205091580748558
Brazil	1	87000000	87499999	1386	0.007226142566651106
Brazil	1	87500000	87999999	1259	0.005173001904040575
Brazil	1	88000000	88499999	1161	0.005141844041645527
Brazil	1	88500000	88999999	1428	0.006591517012566328
Brazil	1	89000000	89499999	1435	0.007777581922709942
Brazil	1	89500000	89999999	1324	0.007456865627318621
Brazil	1	90000000	90499999	1192	0.009112594649195671
Brazil	1	90500000	90999999	1828	0.007319494150578976
Brazil	1	91000000	91499999	1180	0.006548999343067408
Brazil	1	91500000	91999999	886	0.005637314170598984
Brazil	1	92000000	92499999	1408	0.008354473393410444
Brazil	1	92500000	92999999	1378	0.0062780980952084064
Brazil	1	93000000	93499999	1314	0.004433572757989168
Brazil	1	93500000	93999999	1270	0.006697545759379864
Brazil	1	94000000	94499999	1646	0.006581290625035763
Brazil	1	94500000	94999999	1383	0.008396212011575699
Brazil	1	95000000	95499999	1213	0.008470707107335329
Brazil	1	95500000	95999999	1479	0.0077143339440226555
Brazil	1	96000000	96499999	1171	0.006314937490969896
