cluster	au	bp	meandist	lowdist	size	valid	d	mean_wss	mean_bss	prop_bss	angle	admixed	f3	f3se
111	0.996234037709112	0.0652248534812075	0.610173226607576	TRUE	4e+06	FALSE	0.82	1.23	5.29	0.809	0	NA	NA	NA
137	0.982462105300324	0.0076891149014699	0.679829964587597	TRUE	5e+06	FALSE	0.83	1.86	7.608	0.746	0	NA	NA	NA
138	0.980168282376505	0.294652566846488	0.554002423584572	TRUE	4e+06	FALSE	0.23	0.84	9.696	0.821	0	NA	NA	NA
140	0.995170233143347	0.0803858918844454	0.626946384552241	TRUE	6500000	TRUE	0.04	0.25	7.854	0.974	0	FALSE	0.0064371745910212	0.00102506896760265
143	0.972869011958597	0.207591491590772	0.575774843409915	TRUE	4500000	TRUE	0	0.17	6.311	0.954	25	FALSE	0.0222050682028618	0.00338489347768357
149	0.979321322247138	0.0923432706960779	0.657396828693957	TRUE	3500000	FALSE	0.83	0.8	7.882	0.83	0	NA	NA	NA
153	0.982559560184264	0.176778329004254	0.597717834990879	TRUE	5e+06	TRUE	0.02	0.15	6.475	0.958	30	FALSE	0.0241588872848385	0.00332055528720475
154	0.97050615597658	0.0300508549662434	0.63763387175359	TRUE	4500000	FALSE	0.9	1.3	5.526	0.807	0	NA	NA	NA
157	0.999091147892145	0.0194486307448652	0.685600168931592	TRUE	5500000	FALSE	1.81	1.62	6.037	0.79	0	NA	NA	NA
187	0.99161127690909	0.0692249466787478	0.699740270055637	TRUE	8500000	TRUE	0.12	0.59	9.698	0.951	-5	FALSE	0.00874405083284593	0.0011148034457757
232	0.999999879073813	0.00254196780679111	0.71730743605974	TRUE	6500000	FALSE	1.33	1.72	6.649	0.796	0	NA	NA	NA
270	0.988026971358731	0.188801984836012	0.686455761878351	TRUE	9e+06	FALSE	0.73	2.11	17.153	0.783	0	NA	NA	NA
280	0.998454757169237	0.0486538259776535	0.713701520250861	TRUE	9e+06	FALSE	0.61	6.73	8.741	0.718	0	NA	NA	NA
291	0.997167255088645	0.001371312345126	0.715936776184554	TRUE	6e+06	FALSE	0.18	1.92	9.081	0.754	0	NA	NA	NA
297	0.993872243373307	0.00581438013242112	0.720725568919226	TRUE	5e+06	FALSE	1.44	1.67	5.632	0.764	0	NA	NA	NA
332	0.999042321620312	0.0411315826207993	0.684299679618753	TRUE	4e+06	FALSE	0.84	0.87	8.567	0.829	0	NA	NA	NA
35	0.969293865328239	0.096082306005495	0.519757908815688	TRUE	3500000	TRUE	0.1	0.19	3.56	0.952	5	TRUE	-0.00466836639677527	0.000826084228285753
387	0.998758097873372	0.0759070650463035	0.719835104102251	TRUE	9500000	FALSE	0.6	6.82	8.886	0.718	0	NA	NA	NA
435	0.997061275092042	0.00136774947705632	0.763221942932194	TRUE	7500000	FALSE	1.32	1.27	4.812	0.793	0	NA	NA	NA
48	0.98840483530981	0.0615653961151651	0.554731381917862	TRUE	5e+06	FALSE	0.9	1.41	5.744	0.83	0	NA	NA	NA
57	0.969351909346762	0.469459280881381	0.519349338523552	TRUE	3500000	FALSE	1.96	0.75	8.231	0.813	0	NA	NA	NA
64	0.984450404512484	0.288939415300716	0.512119226606642	TRUE	4e+06	TRUE	0.06	0.13	4.321	0.975	0	FALSE	0.00311818791494574	0.000965200515578027
74	0.963520668779371	0.188332018971262	0.558187513606069	TRUE	4e+06	TRUE	0	0.15	5.623	0.953	25	FALSE	0.0202407871107289	0.00346355218841533
750	0.993323001676147	0.00598587322151733	0.772072510321813	TRUE	1.1e+07	FALSE	0.84	6.77	9.851	0.729	0	NA	NA	NA
81	0.979208176454442	0.0218338587715864	0.573890374524539	TRUE	5500000	FALSE	0.91	1.51	6.48	0.832	0	NA	NA	NA
92	0.985427884811212	0.100868673072227	0.608888138965977	TRUE	6e+06	TRUE	0.02	0.17	7.165	0.98	0	FALSE	0.00540979635286128	0.000931501540363895
98	0.999840570808102	0.00305380271632597	0.614544312680266	TRUE	7e+06	FALSE	0.95	1.89	7.708	0.825	0	NA	NA	NA
